task,train_size,lr,strat,stop_ep,gap,max_jump,roughness,room_after_decide,_cid
cifar10,2000,0.001,smart_meta,13,0.030399978160858154,0.1912460988465441,0.05178106514570435,0.04286731018033518,41
cifar10,2000,0.001,param,11,0.030399978160858154,0.1912460988465441,0.05178106514570435,0.04286731018033518,41
cifar10,300,0.0003,early,100,0.00030000507831573486,0.004275709455440757,0.0017605480690172154,0.05117554178743211,42
cifar10,300,0.0003,smart_trend,11,0.06400001049041748,0.004275709455440757,0.0017605480690172154,0.05117554178743211,42
cifar10,300,0.0003,smart_meta,11,0.06400001049041748,0.004275709455440757,0.0017605480690172154,0.05117554178743211,42
cifar10,300,0.0003,param,11,0.06400001049041748,0.004275709455440757,0.0017605480690172154,0.05117554178743211,42
cifar10,2000,0.001,early,33,0.01969999074935913,0.05309448023012486,0.019009406715471407,0.045236142690494696,43
cifar10,2000,0.001,smart_trend,17,0.038099974393844604,0.05309448023012486,0.019009406715471407,0.045236142690494696,43
cifar10,2000,0.001,smart_meta,16,0.038099974393844604,0.05309448023012486,0.019009406715471407,0.045236142690494696,43
cifar10,2000,0.001,param,11,0.05339998006820679,0.05309448023012486,0.019009406715471407,0.045236142690494696,43
cifar10,6000,0.003,early,15,0.00899997353553772,0.07373909317268257,0.030725505307211683,0.02183948026454907,44
cifar10,6000,0.003,smart_trend,11,0.00899997353553772,0.07373909317268257,0.030725505307211683,0.02183948026454907,44
cifar10,6000,0.003,smart_meta,12,0.00899997353553772,0.07373909317268257,0.030725505307211683,0.02183948026454907,44
cifar10,6000,0.003,param,11,0.00899997353553772,0.07373909317268257,0.030725505307211683,0.02183948026454907,44
cifar10,2000,0.003,early,8,0.09449999034404755,0.05984946950640557,0.02469653844318134,0.030617220191620498,45
cifar10,2000,0.003,smart_trend,14,0.050499990582466125,0.05984946950640557,0.02469653844318134,0.030617220191620498,45
cifar10,2000,0.003,smart_meta,14,0.050499990582466125,0.05984946950640557,0.02469653844318134,0.030617220191620498,45
cifar10,2000,0.003,param,11,0.050499990582466125,0.05984946950640557,0.02469653844318134,0.030617220191620498,45
cifar10,800,0.005,early,28,0.005899995565414429,0.14304720835063134,0.03991314882588059,0.029376543609204053,46
cifar10,800,0.005,smart_trend,12,0.02120000123977661,0.14304720835063134,0.03991314882588059,0.029376543609204053,46
cifar10,800,0.005,smart_meta,11,0.029899999499320984,0.14304720835063134,0.03991314882588059,0.029376543609204053,46
cifar10,800,0.005,param,11,0.029899999499320984,0.14304720835063134,0.03991314882588059,0.029376543609204053,46
cifar10,6000,0.001,early,21,0.021699994802474976,0.04227728929462338,0.02023031660900896,0.048398061882405585,47
cifar10,6000,0.001,smart_trend,11,0.05050000548362732,0.04227728929462338,0.02023031660900896,0.048398061882405585,47
cifar10,6000,0.001,smart_meta,12,0.05050000548362732,0.04227728929462338,0.02023031660900896,0.048398061882405585,47
cifar10,6000,0.001,param,11,0.05050000548362732,0.04227728929462338,0.02023031660900896,0.048398061882405585,47
cifar10,6000,0.0003,early,23,0.027799993753433228,0.07126728369478408,0.025056442289368146,0.05038879717745304,48
cifar10,6000,0.0003,smart_trend,15,0.042699992656707764,0.07126728369478408,0.025056442289368146,0.05038879717745304,48
cifar10,6000,0.0003,smart_meta,14,0.042699992656707764,0.07126728369478408,0.025056442289368146,0.05038879717745304,48
cifar10,6000,0.0003,param,11,0.05579999089241028,0.07126728369478408,0.025056442289368146,0.05038879717745304,48
cifar10,2000,0.0003,early,40,0.0015000104904174805,0.04266637287218744,0.01592403594867084,0.07583270632230754,49
cifar10,2000,0.0003,smart_trend,14,0.0656999945640564,0.04266637287218744,0.01592403594867084,0.07583270632230754,49
cifar10,2000,0.0003,smart_meta,13,0.05020001530647278,0.04266637287218744,0.01592403594867084,0.07583270632230754,49
cifar10,2000,0.0003,param,11,0.07260000705718994,0.04266637287218744,0.01592403594867084,0.07583270632230754,49
cifar10,2000,0.005,early,11,0.0,0.00033382833321560224,0.0001723847453686601,0.00030257061227478843,50
cifar10,2000,0.005,smart_trend,11,0.0,0.00033382833321560224,0.0001723847453686601,0.00030257061227478843,50
cifar10,2000,0.005,smart_meta,11,0.0,0.00033382833321560224,0.0001723847453686601,0.00030257061227478843,50
cifar10,2000,0.005,param,11,0.0,0.00033382833321560224,0.0001723847453686601,0.00030257061227478843,50
cifar10,800,0.001,early,19,0.016799986362457275,0.1525955348836825,0.04256365856008443,0.032808365090743696,51
cifar10,800,0.001,smart_trend,11,0.05880001187324524,0.1525955348836825,0.04256365856008443,0.032808365090743696,51
cifar10,800,0.001,smart_meta,11,0.05880001187324524,0.1525955348836825,0.04256365856008443,0.032808365090743696,51
cifar10,800,0.001,param,11,0.05880001187324524,0.1525955348836825,0.04256365856008443,0.032808365090743696,51
